id,Title,Year,Age,IMDb,RTScore,Netflix,Hulu,Prime,Disney,Type
179,The Magicians,2015,16,7.6,75,1,0,0,0,1
180,Ginny & Georgia,2021,16,7.5,75,1,0,0,0,1
181,The Spy,2019,18,7.9,75,1,0,0,0,1
182,On My Block,2018,16,8.0,75,1,0,0,0,1
183,The Movies That Made Us,2019,18,7.8,75,1,0,0,0,1
184,Chef's Table,2015,all,8.5,75,1,0,0,0,1
185,Biohackers,2020,18,6.8,75,1,0,0,0,1
186,The Seven Deadly Sins,2014,16,8.0,75,1,0,0,0,1
187,The Keepers,2017,16,8.1,75,1,0,0,0,1
188,F is for Family,2015,18,8.0,74,1,0,0,0,1
189,The Midnight Gospel,2020,18,8.2,74,1,0,0,0,1
190,Ragnarok,2020,18,7.5,74,1,0,1,0,1
191,Legacies,2018,16,7.4,74,1,0,0,0,1
192,The Order,2019,18,6.8,74,1,0,0,0,1
193,Disenchantment,2018,16,7.2,74,1,0,0,0,1
194,Dead Set,2008,18,7.6,74,1,0,0,0,1
195,Dirty Money,2018,16,8.1,74,1,0,0,0,1
196,The Staircase,2005,16,7.9,74,1,0,0,0,1
197,Soul Eater,2008,16,7.8,74,1,1,0,0,1
198,Into the Night,2020,18,7.1,74,1,0,0,0,1
199,The Haunting of Bly Manor,2020,,7.4,74,1,0,0,0,1
200,Julie and the Phantoms,2020,7,8.5,74,1,0,0,0,1
201,Leyla ile Mecnun,2011,7,9.1,74,1,0,0,0,1
202,Living with Yourself,2019,18,7.2,74,1,0,0,0,1
203,Young Royals,2021,,8.6,74,1,0,0,0,1
204,Hilda,2018,7,8.6,74,1,0,0,0,1
205,The Mechanism,2018,18,8.4,74,1,0,0,0,1
206,ERASED,2016,16,8.5,74,1,1,0,0,1
207,Formula 1: Drive to Survive,2019,16,8.6,74,1,0,0,0,1
208,Don't F**k with Cats: Hunting an Internet Killer,2019,18,8.0,74,1,0,0,0,1
209,Kim's Convenience,2016,16,8.2,73,1,0,0,0,1
210,The Society,2019,18,7.1,73,1,0,0,0,1
211,Imposters,2017,16,7.8,73,1,0,0,0,1
212,Frequency,2016,7,7.5,73,1,0,1,0,1
213,Wentworth,2013,18,8.6,73,1,0,0,0,1
214,Marvel's Iron Fist,2017,18,6.5,73,1,0,0,0,1
215,Bleach,2004,18,8.1,73,1,1,0,0,1
216,Quantico,2015,16,6.7,73,1,0,0,0,1
217,Shooter,2016,16,7.5,73,1,0,0,0,1
218,Pokémon,1997,7,7.5,73,1,1,1,0,1
219,Hollywood,2020,18,7.5,73,1,0,0,0,1
220,Madam Secretary,2014,16,7.6,73,1,0,0,0,1
221,Last Tango in Halifax,2012,16,8.3,73,1,0,0,0,1
222,Safe,2018,18,7.3,73,1,1,0,0,1
223,Resurrection: Ertugrul,2014,16,8.0,73,1,0,0,0,1
224,Versailles,2015,18,7.9,73,1,0,0,0,1
225,Sex/Life,2021,18,5.4,73,1,0,0,0,1
226,Fullmetal Alchemist,2003,16,8.5,73,1,0,0,0,1
227,Marianne,2019,18,7.5,73,1,0,0,0,1
228,Five Came Back,2017,16,8.3,73,1,0,0,0,1
229,Miraculous: Tales of Ladybug & Cat Noir,2015,7,7.7,73,1,0,0,0,1
230,Abstract: The Art of Design,2017,16,8.4,73,1,0,0,0,1
231,Teenage Bounty Hunters,2020,18,7.7,72,1,0,0,0,1
232,Documentary Now!,2015,18,8.1,72,1,0,0,0,1
233,Special,2019,18,7.6,72,1,0,0,0,1
234,JoJo's Bizarre Adventure,2012,18,8.4,72,1,1,0,0,1
235,Manhunt,2017,16,8.1,72,1,0,0,0,1
236,Your Lie in April,2014,7,8.6,72,1,1,0,0,1
237,Code Geass: Lelouch of the Rebellion,2006,18,8.7,72,1,0,0,0,1
238,Middleditch & Schwartz,2020,18,8.6,72,1,0,0,0,1
239,Zoo,2015,16,6.7,72,1,0,0,0,1
240,Jupiters Legacy,2021,18,6.7,72,1,0,0,0,1
241,Ratched,2020,18,7.3,72,1,0,0,0,1
242,Babylon Berlin,2017,18,8.4,72,1,0,0,0,1
243,Better Than Us,2018,,7.4,72,1,0,0,0,1
244,Everything Sucks!,2018,16,7.5,72,1,0,0,0,1
245,Evil Genius,2018,18,7.5,72,1,0,0,0,1
246,Doctor Foster,2015,16,7.7,72,1,0,0,0,1
247,Marcella,2016,18,7.4,72,1,0,0,0,1
248,Survivor,2000,7,7.2,72,1,1,1,0,1
249,Derek,2013,7,8.0,72,1,0,0,0,1
250,Flowers,2016,,8.2,72,1,0,0,0,1
251,3%,2016,18,7.4,72,1,0,0,0,1
252,Tuca & Bertie,2019,18,7.4,72,1,0,0,0,1
253,Kuroko's Basketball,2012,,8.3,72,1,0,0,0,1
254,Parasyte -the maxim-,2014,18,8.3,72,1,1,0,0,1
255,Last Chance U,2016,16,8.4,71,1,0,0,0,1
256,Trailer Park Boys,2001,18,8.5,71,1,0,0,0,1
257,Black Lightning,2018,16,6.1,71,1,0,0,0,1
258,Chicago Med,2015,16,7.6,71,1,1,0,0,1
259,How to Sell Drugs Online (Fast),2019,18,7.9,71,1,0,0,0,1
260,Secret City,2016,18,7.4,71,1,0,0,0,1
261,Dynasty,2017,16,7.3,71,1,0,0,0,1
262,Dracula,2020,18,6.8,71,1,0,0,0,1
263,Delhi Crime,2019,,8.5,71,1,0,0,0,1
264,Space Force,2020,18,6.7,71,1,0,0,0,1
265,Pretend It's a City,2021,16,8.1,71,1,0,0,0,1
266,Masters of the Universe: Revelation,2021,7,4.9,71,1,0,0,0,1
267,iCarly,2007,all,6.7,71,1,0,0,0,1
268,Who Killed Sara?,2021,18,6.4,71,1,0,0,0,1
269,Sword Art Online,2012,18,7.6,71,1,1,0,0,1
270,Paranormal,2020,7,8.5,71,1,0,0,0,1
271,Frontier,2016,18,7.2,71,1,0,0,0,1
272,The Politician,2019,16,7.5,71,1,0,0,0,1
